Year,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,COEMISSIONS 
2000,ACURA,1.6EL,COMPACT,1.6,4,A4,X,10.5,216
2000,ACURA,1.6EL,COMPACT,1.6,4,M5,X,9.8,205
2000,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.7,265
2000,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15,301
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,11.4,230
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,10.6,219
2000,ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,10.8,223
2000,ACURA,NSX,SUBCOMPACT,3,6,AS4,Z,15.2,306
2000,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,15.4,306
2000,AUDI,A4,COMPACT,1.8,4,A5,Z,12.9,251
2000,AUDI,A4,COMPACT,1.8,4,M5,Z,11.1,223
2000,AUDI,A4,COMPACT,2.8,6,A5,Z,14.6,285
2000,AUDI,A4,COMPACT,2.8,6,M5,Z,13.2,260
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,13.6,267
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.1,246
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,14.9,292
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,14.3,288
2000,AUDI,A6,MID-SIZE,2.8,6,A5,Z,15,294
2000,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.4,306
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,15.2,304
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.2,304
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,15.4,306
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,M5,Z,14.6,297
2000,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.5,308
2000,AUDI,A8 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.5,308
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,15.2,304
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,15.2,304
2000,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,13.1,260
2000,AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,M6,Z,13.1,260
2000,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,12.3,246
2000,AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,13.1,260
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,A5,Z,14.6,292
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,M5,Z,13.9,281
2000,BMW,323Ci,COMPACT,2.5,6,A5,Z,13.8,271
2000,BMW,323Ci,COMPACT,2.5,6,M5,Z,13,258
2000,BMW,323i,COMPACT,2.5,6,A5,Z,13.8,271
2000,BMW,323i,COMPACT,2.5,6,M5,Z,13,258
2000,BMW,328Ci,COMPACT,2.8,6,A5,Z,13.9,274
2000,BMW,328Ci,COMPACT,2.8,6,M5,Z,13,258
2000,BMW,328i,COMPACT,2.8,6,A5,Z,13.9,274
2000,BMW,328i,COMPACT,2.8,6,M5,Z,13,258
2000,BMW,528i,COMPACT,2.8,6,A4,Z,14.6,288
2000,BMW,528i,COMPACT,2.8,6,M5,Z,13,258
2000,BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,A4,Z,14.6,288
2000,BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,M5,Z,14.5,285
2000,BMW,540i,COMPACT,4.4,8,A5,Z,14.7,294
2000,BMW,540i,COMPACT,4.4,8,M6,Z,16.4,317
2000,BMW,540i TOURING,STATION WAGON - SMALL,4.4,8,A5,Z,15.5,320
2000,BMW,740i,MID-SIZE,4.4,8,A5,Z,15.4,308
2000,BMW,740iL,FULL-SIZE,4.4,8,A5,Z,15.4,308
2000,BMW,750iL,FULL-SIZE,5.4,12,A5,Z,19.1,373
2000,BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,13.9,281
2000,BMW,M ROADSTER,MINICOMPACT,3.2,6,M5,Z,13.9,281
2000,BMW,M5,COMPACT,4.9,8,M6,Z,19.6,375
2000,BMW,X5,SUV,4.4,8,A5,Z,14.9,294
2000,BMW,Z3,SUBCOMPACT,2.5,6,A4,Z,14,278
2000,BMW,Z3,SUBCOMPACT,2.5,6,M5,Z,13.4,267
2000,BMW,Z3,SUBCOMPACT,2.8,6,A4,Z,13.9,278
2000,BMW,Z3,SUBCOMPACT,2.8,6,M5,Z,13.9,278
2000,BMW,Z8,TWO-SEATER,4.9,8,M6,Z,19.3,380
2000,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,13.1,255
2000,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,13.8,265
2000,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,14.4,276
2000,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,15.1,290
2000,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,13.5,262
2000,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,15.1,290
2000,CADILLAC,CATERA,MID-SIZE,3,6,A4,Z,14.7,294
2000,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,Z,15.5,297
2000,CADILLAC,ELDORADO,MID-SIZE,4.6,8,A4,Z,15.5,297
2000,CADILLAC,ESCALADE 4X4,SUV,5.7,8,A4,X,21.2,430
2000,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,Z,15.5,297
2000,CHEVROLET,ASTRO AWD CARGO,VAN - CARGO,4.3,6,A4,X,17,350
2000,CHEVROLET,ASTRO AWD PASSENGER,VAN - PASSENGER,4.3,6,A4,X,17.4,359
2000,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,16.2,336
2000,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,17.7,368
2000,CHEVROLET,BLAZER,SUV,4.3,6,A4,X,16.2,336
2000,CHEVROLET,BLAZER,SUV,4.3,6,M5,X,16.3,327
2000,CHEVROLET,BLAZER 4X4,SUV,4.3,6,A4,X,16.9,350
2000,CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,18.7,386
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.7,368
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.5,384
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.3,334
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.9,373
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.7,343
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.9,373
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,6,8,A4,X,21.4,435
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,13.9,269
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,13.7,262
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,15.4,306
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,14.7,285
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,A4,X,11.6,232
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,M5,X,12.2,235
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,A4,X,12.5,248
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,M5,X,12.1,235
2000,CHEVROLET,CAVALIER BIFUEL,SUBCOMPACT,2.2,4,A3,X,11.8,242
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,A4,Z,15.5,308
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,M6,Z,14.4,278
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,4.3,6,A4,X,17.8,368
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5,8,A4,X,18.2,373
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.7,8,A4,X,19.3,398
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,4.3,6,A4,X,18.3,380
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5,8,A4,X,18.5,384
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.7,8,A4,X,20.6,426
2000,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,13.6,260
2000,CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,13.5,262
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17,350
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.7,386
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.3,366
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,20.1,405
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18,377
2000,CHEVROLET,K1500 TAHOE 4X4,SUV,5.7,8,A4,X,21.1,430
2000,CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.4,6,A4,X,13.6,260
2000,CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.8,6,A4,X,13.5,262
2000,CHEVROLET,MALIBU,MID-SIZE,3.1,6,A4,X,13.1,255
2000,CHEVROLET,METRO,SUBCOMPACT,1,3,M5,X,7.1,147
2000,CHEVROLET,METRO,SUBCOMPACT,1.3,4,A3,X,9.1,191
2000,CHEVROLET,METRO,SUBCOMPACT,1.3,4,M5,X,7.6,156
2000,CHEVROLET,NEW C1500 SUBURBAN,SUV,5.3,8,A4,X,18.9,391
2000,CHEVROLET,NEW C1500 TAHOE,SUV,4.8,8,A4,X,18.7,391
2000,CHEVROLET,NEW C1500 TAHOE,SUV,5.3,8,A4,X,18.9,391
2000,CHEVROLET,NEW K1500 TAHOE 4X4,SUV,4.8,8,A4,X,18.7,391
2000,CHEVROLET,NEW K1500 TAHOE 4X4,SUV,5.3,8,A4,X,18.9,391
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,2.2,4,A4,X,13.8,278
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,2.2,4,M5,X,12.2,246
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4,313
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,M5,X,16.1,322
2000,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.8,345
2000,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,16.3,329
2000,CHEVROLET,TRACKER 4X4,SUV,2,4,A4,X,11.7,251
2000,CHEVROLET,TRACKER 4X4,SUV,2,4,M5,X,11.9,255
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,1.6,4,M5,X,10.5,228
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2,4,A4,X,11.7,251
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2,4,M5,X,11.9,255
2000,CHEVROLET,VENTURE,MINIVAN,3.4,6,A4,X,14,281
2000,CHRYSLER,300M,FULL-SIZE,3.5,6,AS4,X,14.4,283
2000,CHRYSLER,CIRRUS,MID-SIZE,2.4,4,A4,X,13.4,265
2000,CHRYSLER,CIRRUS,MID-SIZE,2.5,6,A4,X,13.6,269
2000,CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,A4,X,13.2,260
2000,CHRYSLER,CONCORDE,FULL-SIZE,3.2,6,A4,X,14.2,276
2000,CHRYSLER,INTREPID,FULL-SIZE,2.7,6,A4,X,13.2,260
2000,CHRYSLER,INTREPID,FULL-SIZE,2.7,6,AS4,X,13.2,258
2000,CHRYSLER,INTREPID,FULL-SIZE,3.2,6,AS4,X,14.2,274
2000,CHRYSLER,INTREPID,FULL-SIZE,3.5,6,AS4,X,14.4,283
2000,CHRYSLER,LHS,FULL-SIZE,3.5,6,A4,X,14.7,288
2000,CHRYSLER,NEON,COMPACT,2,4,A3,X,10.9,223
2000,CHRYSLER,NEON,COMPACT,2,4,M5,X,9.6,198
2000,CHRYSLER,PT CRUISER,SUBCOMPACT,2.4,4,A4,X,13.4,276
2000,CHRYSLER,PT CRUISER,SUBCOMPACT,2.4,4,M5,X,13.2,269
2000,CHRYSLER,SEBRING,COMPACT,2.5,6,A4,X,13.5,267
2000,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,A4,X,13.6,269
2000,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,AS4,X,14.7,288
2000,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.8,6,A4,X,15.2,304
2000,CHRYSLER,TOWN & COUNTRY AWD,MINIVAN,3.8,6,A4,X,16.2,320
2000,DAEWOO,LANOS,SUBCOMPACT,1.5,4,A4,X,11.3,216
2000,DAEWOO,LANOS,SUBCOMPACT,1.5,4,M5,X,10.3,205
2000,DAEWOO,LANOS,SUBCOMPACT,1.6,4,A4,X,11.6,225
2000,DAEWOO,LANOS,SUBCOMPACT,1.6,4,M5,X,10.4,207
2000,DAEWOO,LEGANZA,COMPACT,2.2,4,A4,X,13.4,265
2000,DAEWOO,LEGANZA,COMPACT,2.2,4,M5,X,13.1,258
2000,DAEWOO,NUBIRA,COMPACT,2,4,A4,X,12,239
2000,DAEWOO,NUBIRA,COMPACT,2,4,M5,X,11.9,237
2000,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2,4,A4,X,12,239
2000,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2,4,M5,X,11.9,237
2000,DODGE,CARAVAN,MINIVAN,3,6,A4,X,14.6,290
2000,DODGE,CARAVAN,MINIVAN,3.3,6,A4,X,14.5,288
2000,DODGE,CARAVAN,MINIVAN,3.8,6,A4,X,15.2,304
2000,DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,X,14.5,288
2000,DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,E,20.6,283
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,A4,X,16.3,331
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,M5,X,16.8,329
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,17.6,357
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,M5,X,18.3,363
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,A4,X,20.8,423
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,A4,X,18.1,375
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,M5,X,19.1,386
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,18.3,370
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,M5,X,18.8,382
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,22.3,444
2000,DODGE,DURANGO 4X4,SUV,4.7,8,A4,X,19.3,389
2000,DODGE,DURANGO 4X4,SUV,5.9,8,A4,X,22.3,444
2000,DODGE,DURANGO 5.9 R/T 4X4,SUV,5.9,8,A4,Z,22.3,444
2000,DODGE,GRAND CARAVAN,MINIVAN,3,6,A4,X,14.6,290
2000,DODGE,GRAND CARAVAN,MINIVAN,3.3,6,A4,X,14.5,288
2000,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,A4,X,15.2,304
2000,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,AS4,X,15.5,308
2000,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,A4,X,16.2,320
2000,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,AS4,X,16.4,324
2000,DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,X,14.5,288
2000,DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,E,20.6,283
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,17.3,350
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,17.4,345
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,20,396
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,M5,X,20.2,396
2000,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.5,416
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,A4,X,21.6,435
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,M5,X,22.1,437
2000,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.6,426
2000,DODGE,RAM 1500 VAN,VAN - CARGO,3.9,6,A3,X,17.6,377
2000,DODGE,RAM 1500 VAN,VAN - CARGO,5.2,8,A4,X,19.6,386
2000,DODGE,RAM 1500 VAN,VAN - CARGO,5.9,8,A4,X,20.8,423
2000,DODGE,RAM 1500 WAGON,VAN - PASSENGER,3.9,6,A3,X,18.3,393
2000,DODGE,RAM 1500 WAGON,VAN - PASSENGER,5.2,8,A4,X,20,393
2000,DODGE,RAM 2500 VAN,VAN - CARGO,5.2,8,A4,X,20,393
2000,DODGE,RAM 2500 VAN,VAN - CARGO,5.9,8,A4,X,21.5,416
2000,DODGE,RAM 2500 VAN NGV,VAN - CARGO,5.2,8,A4,N,20.8,353
2000,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.2,8,A4,X,21.8,444
2000,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.9,8,A4,X,21.8,423
2000,DODGE,VIPER GTS,SUBCOMPACT,8,10,M6,Z,21.4,396
2000,DODGE,VIPER RT/10,SUBCOMPACT,8,10,M6,Z,21.4,396
2000,FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,AS6,Z,24.6,474
2000,FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,M6,Z,24.1,472
2000,FERRARI,456 MGT,SUBCOMPACT,5.5,12,A4,Z,26.7,513
2000,FERRARI,456 MGT,SUBCOMPACT,5.5,12,M6,Z,26.3,495
2000,FERRARI,456 MGTA,SUBCOMPACT,5.5,12,A4,Z,26.7,513
2000,FERRARI,456 MGTA,SUBCOMPACT,5.5,12,M6,Z,26.3,495
2000,FERRARI,550 MARANELLO,SUBCOMPACT,5.5,12,M6,Z,30.2,582
2000,FORD,COUGAR,COMPACT,2,4,M5,X,11.1,219
2000,FORD,COUGAR,COMPACT,2.5,6,A4,X,13.1,260
2000,FORD,COUGAR,COMPACT,2.5,6,M5,X,13.3,260
2000,FORD,CROWN VICTORIA,FULL-SIZE,4.6,8,A4,X,15.1,299
2000,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.2,6,A4,X,19.1,393
2000,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,A4,X,18.8,382
2000,FORD,E150 CLUB WAGON,VAN - PASSENGER,5.4,8,A4,X,19.9,403
2000,FORD,E150 VAN,VAN - CARGO,4.2,6,A4,X,19,389
2000,FORD,E150 VAN,VAN - CARGO,4.6,8,A4,X,17.8,359
2000,FORD,E150 VAN,VAN - CARGO,5.4,8,A4,X,17.9,363
2000,FORD,E250 VAN,VAN - CARGO,4.2,6,A4,X,19.1,391
2000,FORD,E250 VAN,VAN - CARGO,5.4,8,A4,X,20.2,403
2000,FORD,ESCORT ZX2,COMPACT,2,4,A4,X,10.6,216
2000,FORD,ESCORT ZX2,COMPACT,2,4,M5,X,10.6,216
2000,FORD,EXPEDITION,SUV,4.6,8,A4,X,17.8,359
2000,FORD,EXPEDITION,SUV,5.4,8,A4,X,20.2,403
2000,FORD,EXPEDITION 4X4,SUV,4.6,8,A4,X,19.3,391
2000,FORD,EXPEDITION 4X4,SUV,5.4,8,A4,X,21.1,426
2000,FORD,EXPLORER,SUV,4,6,M5,X,14.9,304
2000,FORD,EXPLORER,SUV,5,8,A4,X,18.4,368
2000,FORD,EXPLORER 4X4,SUV,4,6,M5,X,16.4,336
2000,FORD,EXPLORER 4X4,SUV,5,8,A4,X,18.7,373
2000,FORD,EXPLORER OHV,SUV,4,6,A5,X,17.1,357
2000,FORD,EXPLORER OHV 4X4,SUV,4,6,A5,X,17.3,352
2000,FORD,EXPLORER SOHC,SUV,4,6,A5,X,16.5,336
2000,FORD,EXPLORER SOHC 4X4,SUV,4,6,A5,X,16.7,343
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,A4,X,16.7,340
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,M5,X,16.3,334
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,A4,X,17,345
2000,FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,M5,X,17.8,354
2000,FORD,F150,PICKUP TRUCK - STANDARD,5.4,8,A4,X,17.9,363
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,A4,X,17.3,359
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,M5,X,18,373
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,A4,X,18.5,380
2000,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,M5,X,18.8,380
