Datetime,PJME
1/1/2002 0:00,31569
1/1/2002 1:00,30393
1/1/2002 2:00,29265
1/1/2002 3:00,28357
1/1/2002 4:00,27899
1/1/2002 5:00,28057
1/1/2002 6:00,28654
1/1/2002 7:00,29308
1/1/2002 8:00,29595
1/1/2002 9:00,29943
1/1/2002 10:00,30692
1/1/2002 11:00,31395
1/1/2002 12:00,31496
1/1/2002 13:00,31031
1/1/2002 14:00,30360
1/1/2002 15:00,29798
1/1/2002 16:00,29720
1/1/2002 17:00,31271
1/1/2002 18:00,35103
1/1/2002 19:00,35732
1/1/2002 20:00,35639
1/1/2002 21:00,35285
1/1/2002 22:00,34007
1/1/2002 23:00,31857
1/2/2002 0:00,29563
1/2/2002 1:00,28121
1/2/2002 2:00,27437
1/2/2002 3:00,27301
1/2/2002 4:00,27533
1/2/2002 5:00,28405
1/2/2002 6:00,30748
1/2/2002 7:00,34725
1/2/2002 8:00,37313
1/2/2002 9:00,37322
1/2/2002 10:00,37035
1/2/2002 11:00,36758
1/2/2002 12:00,36284
1/2/2002 13:00,35548
1/2/2002 14:00,34978
1/2/2002 15:00,34304
1/2/2002 16:00,34169
1/2/2002 17:00,35674
1/2/2002 18:00,39532
1/2/2002 19:00,40002
1/2/2002 20:00,39484
1/2/2002 21:00,38693
1/2/2002 22:00,37016
1/2/2002 23:00,34332
1/3/2002 0:00,31451
1/3/2002 1:00,29414
1/3/2002 2:00,28537
1/3/2002 3:00,28118
1/3/2002 4:00,28106
1/3/2002 5:00,28650
1/3/2002 6:00,30687
1/3/2002 7:00,34696
1/3/2002 8:00,37196
1/3/2002 9:00,37436
1/3/2002 10:00,37323
1/3/2002 11:00,37198
1/3/2002 12:00,36548
1/3/2002 13:00,36024
1/3/2002 14:00,35186
1/3/2002 15:00,34478
1/3/2002 16:00,34497
1/3/2002 17:00,35807
1/3/2002 18:00,39261
1/3/2002 19:00,39662
1/3/2002 20:00,39177
1/3/2002 21:00,38328
1/3/2002 22:00,36636
1/3/2002 23:00,33869
1/4/2002 0:00,31038
1/4/2002 1:00,29338
1/4/2002 2:00,28421
1/4/2002 3:00,28145
1/4/2002 4:00,28122
1/4/2002 5:00,28637
1/4/2002 6:00,30540
1/4/2002 7:00,34579
1/4/2002 8:00,36958
1/4/2002 9:00,36721
1/4/2002 10:00,36318
1/4/2002 11:00,35809
1/4/2002 12:00,35333
1/4/2002 13:00,34639
1/4/2002 14:00,34237
1/4/2002 15:00,33577
1/4/2002 16:00,33352
1/4/2002 17:00,34563
1/4/2002 18:00,37710
1/4/2002 19:00,38263
1/4/2002 20:00,37539
1/4/2002 21:00,36762
1/4/2002 22:00,35368
1/4/2002 23:00,33202
1/5/2002 0:00,30924
1/5/2002 1:00,28635
1/5/2002 2:00,27501
1/5/2002 3:00,27034
1/5/2002 4:00,26669
1/5/2002 5:00,26822
1/5/2002 6:00,27399
1/5/2002 7:00,28557
1/5/2002 8:00,29709
1/5/2002 9:00,31241
1/5/2002 10:00,32375
1/5/2002 11:00,32490
1/5/2002 12:00,31933
1/5/2002 13:00,31099
1/5/2002 14:00,30399
